transaction_id,customer_id,amount,payment_method,status,failure_reason,customer_age,previous_transactions,successful_transactions,failed_transactions,preferred_method,hour,day_of_week
TXN_000067,CUST_03630,15310.09,WALLET,SUCCESS,,24,19,6,0,NETBANKING,6,Sunday
TXN_000068,CUST_02984,1101.56,CARD,SUCCESS,,56,4,2,3,WALLET,5,Tuesday
TXN_000069,CUST_05415,6918.5,CARD,SUCCESS,,59,25,24,3,WALLET,4,Thursday
TXN_000070,CUST_01070,3977.34,UPI,SUCCESS,,58,17,18,6,WALLET,7,Tuesday
TXN_000071,CUST_08231,18184.96,CARD,SUCCESS,,26,11,3,9,NETBANKING,7,Sunday
TXN_000072,CUST_08238,5002.51,NETBANKING,FAILED,OTP_FAILURE,50,17,9,1,UPI,16,Friday
TXN_000073,CUST_04889,6524.7,WALLET,SUCCESS,,34,29,19,10,NETBANKING,1,Wednesday
TXN_000074,CUST_08675,9891.79,WALLET,SUCCESS,,46,10,4,8,WALLET,16,Saturday
TXN_000075,CUST_02780,4061.74,CARD,SUCCESS,,59,4,2,0,WALLET,20,Monday
TXN_000076,CUST_01468,6272.43,CARD,SUCCESS,,24,29,14,1,UPI,3,Saturday
TXN_000077,CUST_03897,2660.09,CARD,FAILED,BANK_TIMEOUT,22,29,14,9,NETBANKING,9,Thursday
TXN_000078,CUST_04479,19957.61,UPI,SUCCESS,,50,23,23,10,CARD,14,Friday
TXN_000079,CUST_04280,17050.79,WALLET,SUCCESS,,50,14,1,2,NETBANKING,1,Thursday
TXN_000080,CUST_07501,6306.59,NETBANKING,SUCCESS,,21,22,15,3,WALLET,6,Friday
TXN_000081,CUST_07317,2253.39,WALLET,SUCCESS,,43,28,7,1,NETBANKING,7,Tuesday
TXN_000082,CUST_05099,4581.13,UPI,SUCCESS,,55,2,17,0,UPI,21,Wednesday
TXN_000083,CUST_02962,19230.66,UPI,SUCCESS,,37,25,10,9,UPI,7,Sunday
TXN_000084,CUST_02017,8186.44,CARD,SUCCESS,,55,25,19,4,NETBANKING,15,Sunday
TXN_000085,CUST_06395,16206.09,WALLET,SUCCESS,,21,15,7,4,WALLET,12,Sunday
TXN_000086,CUST_05430,19904.45,NETBANKING,SUCCESS,,26,22,4,7,NETBANKING,12,Wednesday
TXN_000087,CUST_07711,10471.14,CARD,SUCCESS,,18,18,8,8,UPI,7,Friday
TXN_000088,CUST_07266,12727.73,CARD,SUCCESS,,45,1,20,1,WALLET,10,Monday
TXN_000089,CUST_06247,363.27,UPI,SUCCESS,,47,11,25,7,CARD,13,Monday
TXN_000090,CUST_00025,21995.86,WALLET,SUCCESS,,60,7,20,8,WALLET,17,Monday
TXN_000091,CUST_05344,2985.85,NETBANKING,SUCCESS,,56,23,21,10,NETBANKING,9,Thursday
TXN_000092,CUST_08032,21008.18,UPI,SUCCESS,,20,25,1,0,WALLET,20,Saturday
TXN_000093,CUST_05669,5893.67,UPI,SUCCESS,,54,2,11,1,WALLET,7,Sunday
TXN_000094,CUST_06638,9588.04,NETBANKING,FAILED,OTP_FAILURE,56,12,8,6,CARD,23,Thursday
TXN_000095,CUST_03292,6301.35,NETBANKING,FAILED,LIMIT_EXCEEDED,36,4,8,0,WALLET,5,Wednesday
TXN_000096,CUST_08311,15895.22,WALLET,SUCCESS,,40,13,18,8,NETBANKING,21,Friday
TXN_000097,CUST_05112,5728.3,UPI,SUCCESS,,38,19,22,10,CARD,18,Wednesday
TXN_000098,CUST_09150,13950.47,CARD,FAILED,CARD_DECLINED,19,27,10,8,WALLET,0,Monday
TXN_000099,CUST_08933,6214.55,NETBANKING,SUCCESS,,25,22,7,8,NETBANKING,22,Monday
TXN_000100,CUST_02298,7638.97,WALLET,FAILED,LIMIT_EXCEEDED,37,14,21,10,CARD,20,Friday
TXN_000101,CUST_02154,17425.42,WALLET,SUCCESS,,59,26,2,10,UPI,5,Saturday
TXN_000102,CUST_01740,4866.8,WALLET,FAILED,OTP_FAILURE,33,9,1,2,CARD,22,Wednesday
TXN_000103,CUST_01396,12059.08,UPI,SUCCESS,,47,26,18,5,NETBANKING,0,Saturday
TXN_000104,CUST_07221,12504.7,WALLET,SUCCESS,,49,30,23,3,NETBANKING,17,Tuesday
TXN_000105,CUST_08329,3794.89,UPI,SUCCESS,,20,2,5,10,NETBANKING,22,Monday
TXN_000106,CUST_09061,7710.15,WALLET,SUCCESS,,35,14,21,2,UPI,18,Sunday
TXN_000107,CUST_05632,18921.79,NETBANKING,SUCCESS,,53,18,11,2,NETBANKING,3,Monday
TXN_000108,CUST_09371,19403.56,WALLET,SUCCESS,,38,12,22,9,CARD,1,Friday
TXN_000109,CUST_08016,13100.19,WALLET,SUCCESS,,25,3,12,1,CARD,9,Wednesday
TXN_000110,CUST_02111,11376.03,WALLET,SUCCESS,,59,15,8,6,UPI,11,Saturday
TXN_000111,CUST_04814,2798.04,UPI,SUCCESS,,28,13,24,10,CARD,3,Tuesday
TXN_000112,CUST_08490,9623.26,WALLET,FAILED,LIMIT_EXCEEDED,38,27,14,8,UPI,15,Thursday
TXN_000113,CUST_05623,5957.09,WALLET,SUCCESS,,23,30,20,0,CARD,8,Saturday
TXN_000114,CUST_03922,21554.99,NETBANKING,FAILED,BANK_SERVER_DOWN,37,16,2,4,UPI,18,Friday
TXN_000115,CUST_04565,7973.53,NETBANKING,SUCCESS,,41,4,18,7,NETBANKING,11,Thursday
TXN_000116,CUST_02415,8571.07,WALLET,FAILED,BANK_SERVER_DOWN,39,22,4,7,CARD,16,Thursday
TXN_000117,CUST_08479,12063.74,UPI,SUCCESS,,53,5,19,6,UPI,5,Thursday
TXN_000118,CUST_05512,223.91,WALLET,SUCCESS,,39,28,15,7,NETBANKING,5,Wednesday
TXN_000119,CUST_05346,2486.46,NETBANKING,SUCCESS,,43,24,14,10,WALLET,22,Sunday
TXN_000120,CUST_08934,4287.53,NETBANKING,FAILED,NETWORK_ERROR,30,2,8,9,CARD,2,Monday
TXN_000121,CUST_08357,21148.59,UPI,FAILED,OTP_FAILURE,30,27,18,0,WALLET,7,Saturday
TXN_000122,CUST_05968,23987.57,UPI,SUCCESS,,39,24,2,5,NETBANKING,15,Saturday
TXN_000123,CUST_07172,15887.94,NETBANKING,SUCCESS,,29,27,5,1,CARD,1,Wednesday
TXN_000124,CUST_00965,19213.99,UPI,SUCCESS,,37,18,10,1,CARD,10,Sunday
TXN_000125,CUST_02343,17804.28,UPI,FAILED,NETWORK_ERROR,44,20,22,6,CARD,12,Monday
TXN_000126,CUST_09030,6494.36,UPI,SUCCESS,,31,27,7,5,WALLET,5,Saturday
TXN_000127,CUST_02372,5244.65,WALLET,FAILED,BANK_SERVER_DOWN,50,21,4,8,NETBANKING,12,Monday
TXN_000128,CUST_01815,4708.07,CARD,SUCCESS,,34,18,10,1,NETBANKING,2,Monday
TXN_000129,CUST_04608,21695.34,UPI,SUCCESS,,29,27,13,9,NETBANKING,8,Thursday
TXN_000130,CUST_03617,19679.73,WALLET,SUCCESS,,28,29,4,0,NETBANKING,20,Thursday
TXN_000131,CUST_06870,8582.38,WALLET,SUCCESS,,27,18,6,3,UPI,11,Thursday
TXN_000132,CUST_06205,4472.41,UPI,SUCCESS,,39,20,3,1,CARD,14,Thursday
TXN_000133,CUST_03386,6363.66,UPI,SUCCESS,,39,17,20,8,UPI,14,Saturday
TXN_000134,CUST_02382,18897.35,NETBANKING,SUCCESS,,27,24,5,2,CARD,1,Saturday
TXN_000135,CUST_01108,1838.25,UPI,SUCCESS,,41,9,7,1,CARD,23,Monday
TXN_000136,CUST_06212,7820.65,CARD,SUCCESS,,34,16,21,3,NETBANKING,0,Monday
TXN_000137,CUST_07138,15555.55,CARD,SUCCESS,,39,4,15,7,WALLET,21,Sunday
TXN_000138,CUST_00822,18299.5,CARD,SUCCESS,,39,18,3,0,NETBANKING,22,Wednesday
TXN_000139,CUST_02621,5250.11,WALLET,SUCCESS,,38,1,20,5,NETBANKING,15,Thursday
TXN_000140,CUST_08365,19082.1,NETBANKING,SUCCESS,,43,13,18,10,NETBANKING,11,Thursday
TXN_000141,CUST_00477,9860.14,UPI,SUCCESS,,23,24,12,8,UPI,14,Monday
TXN_000142,CUST_04497,1428.43,CARD,SUCCESS,,37,28,14,3,WALLET,0,Tuesday
TXN_000143,CUST_00605,10938.21,WALLET,SUCCESS,,29,7,12,5,NETBANKING,6,Saturday
TXN_000144,CUST_09026,20594.03,CARD,SUCCESS,,39,27,6,6,WALLET,19,Monday
TXN_000145,CUST_08912,14563.01,CARD,FAILED,NETWORK_ERROR,29,28,13,3,CARD,19,Friday
TXN_000146,CUST_01006,15297.95,NETBANKING,FAILED,BANK_TIMEOUT,34,21,18,6,NETBANKING,19,Thursday
TXN_000147,CUST_01686,7678.18,CARD,SUCCESS,,54,23,23,2,WALLET,20,Tuesday
TXN_000148,CUST_02802,20125.2,NETBANKING,FAILED,INSUFFICIENT_FUNDS,19,17,7,7,UPI,2,Tuesday
TXN_000149,CUST_07783,1502.04,WALLET,SUCCESS,,44,10,11,2,WALLET,6,Wednesday
TXN_000150,CUST_06782,5994.83,NETBANKING,FAILED,NETWORK_ERROR,21,13,2,6,CARD,8,Thursday
TXN_000151,CUST_09787,24413.29,CARD,SUCCESS,,41,23,15,6,UPI,1,Wednesday
TXN_000152,CUST_06071,2195.45,CARD,SUCCESS,,40,18,16,9,CARD,23,Sunday
TXN_000153,CUST_02015,18838.45,WALLET,SUCCESS,,21,5,11,7,UPI,15,Tuesday
TXN_000154,CUST_09908,12744.37,NETBANKING,FAILED,BANK_TIMEOUT,60,30,4,9,CARD,4,Sunday
TXN_000155,CUST_04201,1100.96,UPI,SUCCESS,,60,9,21,9,NETBANKING,0,Wednesday
TXN_000156,CUST_09540,21080.69,NETBANKING,SUCCESS,,38,29,11,6,NETBANKING,20,Monday
TXN_000157,CUST_01139,10462.36,WALLET,SUCCESS,,23,14,24,5,WALLET,9,Saturday
TXN_000158,CUST_08411,3283.34,NETBANKING,FAILED,CARD_DECLINED,24,9,4,1,WALLET,5,Thursday
TXN_000159,CUST_00037,19633.23,CARD,SUCCESS,,39,19,8,10,UPI,23,Thursday
TXN_000160,CUST_02058,21498.25,WALLET,SUCCESS,,48,30,12,1,WALLET,5,Tuesday
TXN_000161,CUST_02811,18774.89,WALLET,SUCCESS,,51,5,21,2,CARD,11,Tuesday
TXN_000162,CUST_09564,15316.45,UPI,SUCCESS,,29,1,10,6,WALLET,3,Wednesday
TXN_000163,CUST_04123,12823.25,NETBANKING,SUCCESS,,29,2,1,9,CARD,14,Saturday
TXN_000164,CUST_04240,13234.07,CARD,SUCCESS,,38,14,7,2,CARD,7,Friday
TXN_000165,CUST_03761,20625.13,NETBANKING,SUCCESS,,45,12,19,4,NETBANKING,19,Sunday
TXN_000166,CUST_07653,5010.16,NETBANKING,SUCCESS,,44,3,17,9,NETBANKING,14,Wednesday
TXN_000167,CUST_01452,1740.27,CARD,SUCCESS,,36,25,7,3,WALLET,5,Sunday
TXN_000168,CUST_01744,12224.44,CARD,SUCCESS,,60,8,17,6,WALLET,19,Wednesday
TXN_000169,CUST_06841,10878.72,UPI,SUCCESS,,31,9,25,1,UPI,14,Thursday
TXN_000170,CUST_09301,4726.87,NETBANKING,SUCCESS,,26,23,12,2,NETBANKING,12,Friday
TXN_000171,CUST_07595,17178.36,WALLET,FAILED,OTP_FAILURE,22,10,13,9,CARD,7,Tuesday
TXN_000172,CUST_03415,17985.49,WALLET,FAILED,BANK_SERVER_DOWN,18,7,17,3,UPI,5,Friday
TXN_000173,CUST_09910,6844.4,WALLET,SUCCESS,,34,30,6,5,CARD,2,Wednesday
TXN_000174,CUST_00155,19189.27,CARD,SUCCESS,,29,6,25,8,WALLET,5,Saturday
TXN_000175,CUST_00124,23042.49,CARD,FAILED,LIMIT_EXCEEDED,32,9,18,7,UPI,16,Wednesday
TXN_000176,CUST_01189,21245.34,UPI,SUCCESS,,53,29,6,4,UPI,4,Monday
TXN_000177,CUST_05873,5571.09,CARD,SUCCESS,,42,2,20,7,WALLET,1,Wednesday
TXN_000178,CUST_08210,438.73,NETBANKING,SUCCESS,,20,7,2,8,UPI,11,Sunday
TXN_000179,CUST_06607,19114.38,CARD,SUCCESS,,18,11,7,10,NETBANKING,8,Friday
TXN_000180,CUST_04757,21547.02,CARD,SUCCESS,,28,9,5,1,WALLET,15,Thursday
TXN_000181,CUST_04535,16219.31,CARD,FAILED,INSUFFICIENT_FUNDS,59,4,3,2,UPI,0,Sunday
TXN_000182,CUST_00388,11952.59,UPI,FAILED,NETWORK_ERROR,56,1,1,0,CARD,8,Saturday
TXN_000183,CUST_03582,8595.64,UPI,SUCCESS,,48,30,16,3,CARD,9,Thursday
TXN_000184,CUST_02675,18836.06,CARD,SUCCESS,,43,29,5,4,CARD,23,Monday
TXN_000185,CUST_00908,7082.12,WALLET,FAILED,BANK_TIMEOUT,46,6,10,0,CARD,8,Tuesday
TXN_000186,CUST_08948,5948.87,UPI,SUCCESS,,33,15,6,4,CARD,7,Sunday
TXN_000187,CUST_07917,16329.48,NETBANKING,SUCCESS,,20,13,6,10,NETBANKING,6,Tuesday
TXN_000188,CUST_06580,624.39,NETBANKING,SUCCESS,,19,21,18,8,WALLET,2,Sunday
TXN_000189,CUST_00758,1632.72,WALLET,SUCCESS,,56,30,11,1,WALLET,15,Friday
TXN_000190,CUST_06868,4104.02,NETBANKING,SUCCESS,,54,12,15,1,UPI,3,Sunday
TXN_000191,CUST_06564,7974.18,WALLET,SUCCESS,,41,6,1,9,WALLET,8,Tuesday
TXN_000192,CUST_06951,10766.27,CARD,SUCCESS,,43,18,7,2,WALLET,2,Saturday
TXN_000193,CUST_09543,13209.4,WALLET,SUCCESS,,53,16,2,6,WALLET,5,Friday
TXN_000194,CUST_02983,443.99,NETBANKING,SUCCESS,,53,21,1,0,WALLET,4,Sunday
TXN_000195,CUST_02748,13314.14,CARD,SUCCESS,,40,15,12,9,NETBANKING,4,Friday
TXN_000196,CUST_01409,5531.37,CARD,SUCCESS,,23,22,5,1,WALLET,21,Wednesday
TXN_000197,CUST_00401,1903.57,CARD,SUCCESS,,19,4,1,3,CARD,1,Saturday
TXN_000198,CUST_04140,12533.08,UPI,SUCCESS,,52,5,22,0,CARD,23,Tuesday
TXN_000199,CUST_01089,17193.31,NETBANKING,SUCCESS,,39,26,20,8,NETBANKING,3,Thursday
TXN_000200,CUST_06303,22708.61,UPI,FAILED,BANK_TIMEOUT,38,11,18,5,WALLET,17,Tuesday
TXN_000201,CUST_02053,7075.17,NETBANKING,SUCCESS,,39,1,1,6,CARD,3,Monday
TXN_000202,CUST_01073,5090.09,WALLET,FAILED,BANK_TIMEOUT,45,30,24,7,NETBANKING,0,Saturday
TXN_000203,CUST_03509,10060.47,NETBANKING,SUCCESS,,49,16,15,8,NETBANKING,8,Monday
TXN_000204,CUST_02812,582.55,CARD,SUCCESS,,58,19,8,6,UPI,23,Sunday
TXN_000205,CUST_03223,9474.52,CARD,FAILED,NETWORK_ERROR,36,13,12,8,UPI,18,Tuesday
TXN_000206,CUST_00695,24149.27,NETBANKING,SUCCESS,,21,14,19,5,WALLET,11,Thursday
TXN_000207,CUST_08151,10607.33,UPI,SUCCESS,,29,18,9,4,WALLET,20,Sunday
TXN_000208,CUST_07667,796.23,WALLET,SUCCESS,,39,12,6,5,UPI,2,Friday
TXN_000209,CUST_08091,7537.05,NETBANKING,SUCCESS,,48,19,24,6,UPI,4,Thursday
TXN_000210,CUST_02701,288.35,UPI,SUCCESS,,23,11,1,2,NETBANKING,4,Friday
TXN_000211,CUST_07825,22272.28,CARD,SUCCESS,,19,23,25,0,WALLET,7,Tuesday
TXN_000212,CUST_06189,106.58,UPI,SUCCESS,,48,6,21,6,WALLET,3,Friday
TXN_000213,CUST_02557,1167.06,CARD,SUCCESS,,26,4,11,9,WALLET,4,Tuesday
TXN_000214,CUST_06835,487.22,UPI,SUCCESS,,18,29,23,2,WALLET,22,Sunday
TXN_000215,CUST_06279,22286.03,UPI,SUCCESS,,34,8,8,6,WALLET,18,Friday
TXN_000216,CUST_03424,24935.78,UPI,SUCCESS,,28,20,24,3,WALLET,21,Thursday
TXN_000217,CUST_09269,21674.84,NETBANKING,SUCCESS,,55,30,5,3,CARD,6,Wednesday
TXN_000218,CUST_05622,8537.73,UPI,SUCCESS,,31,18,22,5,UPI,9,Wednesday
TXN_000219,CUST_01555,4363.67,NETBANKING,SUCCESS,,19,4,7,0,NETBANKING,3,Thursday
TXN_000220,CUST_06372,19599.47,UPI,SUCCESS,,56,20,11,7,UPI,22,Friday
TXN_000221,CUST_06291,14934.59,WALLET,FAILED,OTP_FAILURE,40,9,10,5,CARD,1,Friday
TXN_000222,CUST_01110,7154.99,CARD,FAILED,INSUFFICIENT_FUNDS,22,15,7,7,WALLET,11,Tuesday
TXN_000223,CUST_07668,12967.01,CARD,SUCCESS,,50,11,7,9,CARD,18,Saturday
TXN_000224,CUST_04054,19208.28,CARD,SUCCESS,,43,20,15,2,UPI,20,Tuesday
TXN_000225,CUST_03810,10951.51,CARD,SUCCESS,,19,20,2,8,UPI,2,Friday
TXN_000226,CUST_08598,15063.17,WALLET,FAILED,CARD_DECLINED,36,22,24,10,NETBANKING,20,Thursday
TXN_000227,CUST_05030,803.77,WALLET,SUCCESS,,30,10,25,9,UPI,8,Monday
TXN_000228,CUST_05278,1276.39,UPI,SUCCESS,,19,24,2,3,WALLET,18,Monday
TXN_000229,CUST_09100,23855.5,UPI,SUCCESS,,57,14,10,6,NETBANKING,16,Monday
TXN_000230,CUST_09972,2672.46,WALLET,SUCCESS,,57,9,18,9,NETBANKING,23,Monday
TXN_000231,CUST_05870,16747.85,WALLET,SUCCESS,,20,15,14,8,WALLET,21,Friday
TXN_000232,CUST_05331,2596.31,CARD,SUCCESS,,43,4,15,8,CARD,16,Sunday
TXN_000233,CUST_00256,18789.4,CARD,SUCCESS,,37,8,19,7,NETBANKING,6,Wednesday
TXN_000234,CUST_06826,22367.44,WALLET,FAILED,OTP_FAILURE,56,18,13,7,CARD,16,Tuesday
TXN_000235,CUST_00718,19185.79,WALLET,SUCCESS,,55,11,11,10,WALLET,12,Sunday
TXN_000236,CUST_01325,14994.91,UPI,SUCCESS,,29,2,13,2,NETBANKING,14,Monday
TXN_000237,CUST_06942,2271.58,NETBANKING,FAILED,INSUFFICIENT_FUNDS,31,8,11,0,UPI,8,Thursday
TXN_000238,CUST_00331,16447.57,NETBANKING,SUCCESS,,36,9,25,3,CARD,2,Tuesday
TXN_000239,CUST_04049,23862.41,NETBANKING,SUCCESS,,18,8,10,9,UPI,19,Friday
TXN_000240,CUST_02982,20172.46,CARD,SUCCESS,,43,28,20,10,WALLET,3,Sunday
TXN_000241,CUST_02559,11572.24,CARD,SUCCESS,,41,12,16,8,CARD,3,Sunday
TXN_000242,CUST_07855,18271.57,WALLET,FAILED,INSUFFICIENT_FUNDS,28,9,12,3,UPI,2,Saturday
TXN_000243,CUST_08422,11354.15,UPI,SUCCESS,,44,7,3,3,WALLET,19,Saturday
TXN_000244,CUST_03720,23361.88,NETBANKING,SUCCESS,,18,13,22,3,WALLET,2,Friday
TXN_000245,CUST_00862,10898.3,CARD,FAILED,BANK_SERVER_DOWN,37,3,1,4,NETBANKING,21,Sunday
TXN_000246,CUST_01216,11776.38,NETBANKING,SUCCESS,,19,27,10,10,WALLET,16,Saturday
TXN_000247,CUST_08417,16736.86,WALLET,SUCCESS,,32,16,12,1,CARD,0,Tuesday
TXN_000248,CUST_05489,4202.74,WALLET,SUCCESS,,56,22,5,0,CARD,6,Thursday
TXN_000249,CUST_03729,12488.35,NETBANKING,FAILED,LIMIT_EXCEEDED,39,24,2,7,CARD,7,Tuesday
TXN_000250,CUST_04134,17376.44,NETBANKING,SUCCESS,,21,23,2,5,NETBANKING,2,Friday
TXN_000251,CUST_09706,1450.6,UPI,SUCCESS,,21,15,5,0,WALLET,13,Tuesday
TXN_000252,CUST_09018,17589.22,WALLET,SUCCESS,,34,5,17,4,WALLET,14,Wednesday
TXN_000253,CUST_05090,5651.05,UPI,SUCCESS,,52,10,4,6,CARD,4,Sunday
TXN_000254,CUST_02548,8426.51,CARD,SUCCESS,,44,30,17,0,WALLET,14,Thursday
TXN_000255,CUST_03397,3197.15,UPI,SUCCESS,,38,22,8,0,WALLET,13,Thursday
TXN_000256,CUST_07896,2120.45,UPI,SUCCESS,,49,20,8,9,UPI,10,Thursday
TXN_000257,CUST_02125,23742.84,UPI,SUCCESS,,41,8,9,0,UPI,13,Friday
TXN_000258,CUST_08744,3465.17,NETBANKING,SUCCESS,,42,8,11,1,CARD,4,Friday
