transaction_id,customer_id,amount,payment_method,status,failure_reason,customer_age,previous_transactions,successful_transactions,failed_transactions,preferred_method,hour,day_of_week,recovered
TXN_000154,CUST_09908,12744.37,NETBANKING,FAILED,BANK_TIMEOUT,60,30,4,9,CARD,4,Sunday,1
TXN_000158,CUST_08411,3283.34,NETBANKING,FAILED,CARD_DECLINED,24,9,4,1,WALLET,5,Thursday,0
TXN_000171,CUST_07595,17178.36,WALLET,FAILED,OTP_FAILURE,22,10,13,9,CARD,7,Tuesday,0
TXN_000172,CUST_03415,17985.49,WALLET,FAILED,BANK_SERVER_DOWN,18,7,17,3,UPI,5,Friday,0
TXN_000175,CUST_00124,23042.49,CARD,FAILED,LIMIT_EXCEEDED,32,9,18,7,UPI,16,Wednesday,1
TXN_000181,CUST_04535,16219.31,CARD,FAILED,INSUFFICIENT_FUNDS,59,4,3,2,UPI,0,Sunday,0
TXN_000182,CUST_00388,11952.59,UPI,FAILED,NETWORK_ERROR,56,1,1,0,CARD,8,Saturday,0
TXN_000185,CUST_00908,7082.12,WALLET,FAILED,BANK_TIMEOUT,46,6,10,0,CARD,8,Tuesday,1
TXN_000200,CUST_06303,22708.61,UPI,FAILED,BANK_TIMEOUT,38,11,18,5,WALLET,17,Tuesday,1
TXN_000202,CUST_01073,5090.09,WALLET,FAILED,BANK_TIMEOUT,45,30,24,7,NETBANKING,0,Saturday,0
TXN_000205,CUST_03223,9474.52,CARD,FAILED,NETWORK_ERROR,36,13,12,8,UPI,18,Tuesday,0
TXN_000221,CUST_06291,14934.59,WALLET,FAILED,OTP_FAILURE,40,9,10,5,CARD,1,Friday,1
TXN_000222,CUST_01110,7154.99,CARD,FAILED,INSUFFICIENT_FUNDS,22,15,7,7,WALLET,11,Tuesday,0
TXN_000226,CUST_08598,15063.17,WALLET,FAILED,CARD_DECLINED,36,22,24,10,NETBANKING,20,Thursday,0
TXN_000234,CUST_06826,22367.44,WALLET,FAILED,OTP_FAILURE,56,18,13,7,CARD,16,Tuesday,0
TXN_000237,CUST_06942,2271.58,NETBANKING,FAILED,INSUFFICIENT_FUNDS,31,8,11,0,UPI,8,Thursday,0
TXN_000242,CUST_07855,18271.57,WALLET,FAILED,INSUFFICIENT_FUNDS,28,9,12,3,UPI,2,Saturday,0
TXN_000245,CUST_00862,10898.3,CARD,FAILED,BANK_SERVER_DOWN,37,3,1,4,NETBANKING,21,Sunday,0
TXN_000249,CUST_03729,12488.35,NETBANKING,FAILED,LIMIT_EXCEEDED,39,24,2,7,CARD,7,Tuesday,0
TXN_000259,CUST_08621,20878.89,WALLET,FAILED,INSUFFICIENT_FUNDS,31,4,25,3,WALLET,12,Tuesday,0
TXN_000260,CUST_07561,8207.28,CARD,FAILED,CARD_DECLINED,24,12,20,7,UPI,16,Thursday,0
TXN_000266,CUST_07105,4336.4,UPI,FAILED,LIMIT_EXCEEDED,36,17,2,1,CARD,5,Saturday,1
TXN_000269,CUST_07267,14677.05,NETBANKING,FAILED,CARD_DECLINED,52,14,25,6,WALLET,9,Wednesday,0
TXN_000278,CUST_04167,4964.72,CARD,FAILED,BANK_TIMEOUT,51,1,14,6,WALLET,18,Friday,1
TXN_000279,CUST_01900,897.56,UPI,FAILED,OTP_FAILURE,23,28,24,8,CARD,13,Friday,1
TXN_000280,CUST_05703,16070.93,WALLET,FAILED,OTP_FAILURE,48,28,18,0,UPI,13,Monday,1
TXN_000282,CUST_07575,8649.65,UPI,FAILED,INSUFFICIENT_FUNDS,27,2,18,1,UPI,4,Monday,0
TXN_000286,CUST_00250,11011.76,WALLET,FAILED,LIMIT_EXCEEDED,49,11,8,9,NETBANKING,11,Saturday,0
TXN_000288,CUST_05829,23513.41,CARD,FAILED,LIMIT_EXCEEDED,23,10,7,8,WALLET,8,Friday,0
TXN_000294,CUST_06170,10137.04,UPI,FAILED,NETWORK_ERROR,32,11,1,3,WALLET,8,Wednesday,1
TXN_000296,CUST_02850,915.86,NETBANKING,FAILED,NETWORK_ERROR,34,14,21,9,UPI,20,Wednesday,1
TXN_000301,CUST_04317,11274.67,CARD,FAILED,OTP_FAILURE,50,8,22,7,UPI,17,Saturday,1
TXN_000302,CUST_04508,9664.42,WALLET,FAILED,CARD_DECLINED,35,8,1,2,CARD,3,Saturday,0
TXN_000311,CUST_07160,9232.55,WALLET,FAILED,INSUFFICIENT_FUNDS,51,7,18,3,UPI,13,Saturday,1
TXN_000312,CUST_04815,9273.79,CARD,FAILED,NETWORK_ERROR,58,28,6,7,NETBANKING,10,Monday,0
TXN_000320,CUST_00387,7452.51,CARD,FAILED,INSUFFICIENT_FUNDS,37,1,25,8,WALLET,4,Wednesday,0
TXN_000334,CUST_04026,1959.36,UPI,FAILED,OTP_FAILURE,60,19,16,9,CARD,3,Monday,1
TXN_000337,CUST_07717,846.52,UPI,FAILED,INSUFFICIENT_FUNDS,27,1,13,1,WALLET,17,Saturday,1
TXN_000341,CUST_08585,19152.53,UPI,FAILED,BANK_SERVER_DOWN,37,21,2,7,NETBANKING,21,Saturday,0
TXN_000366,CUST_06985,15236.94,UPI,FAILED,NETWORK_ERROR,21,29,4,8,WALLET,13,Wednesday,1
TXN_000368,CUST_04789,12993.19,CARD,FAILED,BANK_TIMEOUT,39,8,13,9,UPI,12,Tuesday,1
TXN_000369,CUST_04178,20668.57,UPI,FAILED,OTP_FAILURE,49,10,11,5,UPI,23,Saturday,1
TXN_000371,CUST_07011,7252.89,NETBANKING,FAILED,BANK_SERVER_DOWN,28,18,23,4,NETBANKING,9,Sunday,0
TXN_000373,CUST_05873,3360.94,CARD,FAILED,BANK_TIMEOUT,42,2,20,7,WALLET,15,Sunday,1
TXN_000379,CUST_06091,4698.21,WALLET,FAILED,OTP_FAILURE,33,9,2,7,NETBANKING,13,Wednesday,0
TXN_000387,CUST_02032,17934.43,UPI,FAILED,OTP_FAILURE,50,25,19,4,CARD,14,Tuesday,0
TXN_000394,CUST_06437,22430.87,WALLET,FAILED,LIMIT_EXCEEDED,33,2,20,6,CARD,18,Thursday,1
TXN_000396,CUST_08408,10538.75,CARD,FAILED,BANK_SERVER_DOWN,32,12,6,4,WALLET,15,Thursday,0
TXN_000412,CUST_08766,12768.88,NETBANKING,FAILED,BANK_SERVER_DOWN,28,29,4,1,NETBANKING,1,Monday,0
TXN_000414,CUST_00228,17128.68,UPI,FAILED,NETWORK_ERROR,22,20,14,2,WALLET,15,Friday,1
TXN_000417,CUST_05687,6631.97,CARD,FAILED,INSUFFICIENT_FUNDS,47,2,11,10,NETBANKING,17,Friday,0
TXN_000418,CUST_06513,10614.1,NETBANKING,FAILED,OTP_FAILURE,19,12,22,5,UPI,5,Monday,0
TXN_000419,CUST_03640,24825.88,UPI,FAILED,BANK_SERVER_DOWN,38,1,8,0,NETBANKING,13,Sunday,0
TXN_000425,CUST_04840,9215.95,UPI,FAILED,BANK_TIMEOUT,30,22,18,3,CARD,15,Saturday,0
TXN_000432,CUST_04305,8326.52,CARD,FAILED,NETWORK_ERROR,29,19,10,8,WALLET,10,Monday,0
TXN_000435,CUST_04485,10014.92,WALLET,FAILED,OTP_FAILURE,57,11,10,0,NETBANKING,7,Monday,1
TXN_000436,CUST_01843,13277.06,UPI,FAILED,NETWORK_ERROR,48,20,19,3,CARD,10,Thursday,1
TXN_000437,CUST_08209,24579.72,UPI,FAILED,BANK_TIMEOUT,18,9,2,6,UPI,16,Sunday,1
TXN_000444,CUST_05164,2591.27,UPI,FAILED,NETWORK_ERROR,27,27,24,8,CARD,6,Sunday,1
TXN_000446,CUST_08420,19229.72,NETBANKING,FAILED,BANK_TIMEOUT,20,14,4,7,CARD,15,Friday,1
TXN_000450,CUST_08720,7111.74,WALLET,FAILED,CARD_DECLINED,48,23,18,0,CARD,21,Monday,1
TXN_000454,CUST_05955,24931.27,CARD,FAILED,CARD_DECLINED,24,24,22,10,WALLET,4,Tuesday,0
TXN_000456,CUST_04551,6545.43,WALLET,FAILED,LIMIT_EXCEEDED,35,1,6,5,NETBANKING,13,Saturday,0
TXN_000458,CUST_05170,3152.83,NETBANKING,FAILED,INSUFFICIENT_FUNDS,49,2,12,6,CARD,10,Monday,1
TXN_000462,CUST_07481,18525.32,WALLET,FAILED,CARD_DECLINED,57,17,13,5,NETBANKING,4,Wednesday,0
TXN_000468,CUST_03079,8319.8,UPI,FAILED,LIMIT_EXCEEDED,39,9,1,10,UPI,20,Monday,0
TXN_000480,CUST_06925,12636.98,WALLET,FAILED,BANK_TIMEOUT,40,25,5,1,UPI,0,Tuesday,0
TXN_000492,CUST_02648,7444.37,UPI,FAILED,BANK_SERVER_DOWN,42,14,25,10,WALLET,18,Monday,0
TXN_000493,CUST_01910,21807.7,UPI,FAILED,OTP_FAILURE,54,8,16,10,WALLET,21,Saturday,0
TXN_000496,CUST_07239,10902.61,WALLET,FAILED,BANK_SERVER_DOWN,44,10,18,3,WALLET,6,Friday,0
TXN_000498,CUST_06696,7176.75,UPI,FAILED,LIMIT_EXCEEDED,60,27,21,7,UPI,18,Monday,1
TXN_000501,CUST_00987,4309.53,WALLET,FAILED,OTP_FAILURE,51,27,9,2,NETBANKING,15,Sunday,0
TXN_000502,CUST_03211,11287.3,NETBANKING,FAILED,BANK_SERVER_DOWN,32,30,3,2,CARD,11,Wednesday,0
TXN_000508,CUST_01691,1255.94,WALLET,FAILED,OTP_FAILURE,27,12,19,1,CARD,8,Tuesday,1
TXN_000511,CUST_05285,5414.3,WALLET,FAILED,BANK_TIMEOUT,20,9,17,3,WALLET,19,Tuesday,1
TXN_000515,CUST_01353,7425.98,WALLET,FAILED,OTP_FAILURE,18,29,23,8,CARD,17,Sunday,0
TXN_000523,CUST_09942,9069.5,WALLET,FAILED,BANK_TIMEOUT,18,29,16,8,UPI,11,Monday,0
TXN_000534,CUST_05156,20338.87,CARD,FAILED,CARD_DECLINED,33,22,7,0,CARD,3,Saturday,1
TXN_000545,CUST_01696,6722.96,UPI,FAILED,OTP_FAILURE,60,24,18,2,CARD,14,Friday,0
TXN_000549,CUST_06839,10831.91,UPI,FAILED,CARD_DECLINED,18,22,18,6,NETBANKING,0,Wednesday,1
TXN_000558,CUST_08960,23433.12,CARD,FAILED,NETWORK_ERROR,22,20,7,6,NETBANKING,17,Thursday,0
TXN_000560,CUST_02551,15354.4,NETBANKING,FAILED,BANK_SERVER_DOWN,47,10,23,5,NETBANKING,15,Saturday,1
TXN_000566,CUST_06337,8500.9,WALLET,FAILED,BANK_TIMEOUT,39,10,8,10,NETBANKING,20,Thursday,0
TXN_000569,CUST_03871,8845.58,UPI,FAILED,LIMIT_EXCEEDED,33,13,24,2,UPI,3,Tuesday,0
TXN_000579,CUST_04387,2530.93,UPI,FAILED,CARD_DECLINED,39,8,25,8,NETBANKING,11,Saturday,0
TXN_000581,CUST_06407,16778.88,CARD,FAILED,BANK_SERVER_DOWN,56,26,13,9,CARD,0,Wednesday,1
TXN_000595,CUST_00884,8449.44,CARD,FAILED,BANK_SERVER_DOWN,21,30,13,2,UPI,4,Friday,0
TXN_000598,CUST_00453,12929.1,CARD,FAILED,BANK_TIMEOUT,18,2,8,4,CARD,4,Sunday,1
TXN_000599,CUST_09311,4498.14,UPI,FAILED,LIMIT_EXCEEDED,24,18,3,2,NETBANKING,3,Wednesday,0
TXN_000607,CUST_01288,17275.92,UPI,FAILED,NETWORK_ERROR,39,17,20,5,UPI,14,Tuesday,1
TXN_000613,CUST_03284,21600.16,UPI,FAILED,BANK_SERVER_DOWN,34,2,9,8,NETBANKING,6,Sunday,0
TXN_000616,CUST_06845,8120.25,WALLET,FAILED,LIMIT_EXCEEDED,46,26,19,6,UPI,16,Wednesday,0
TXN_000617,CUST_00259,12919.04,NETBANKING,FAILED,BANK_SERVER_DOWN,37,13,25,2,WALLET,1,Tuesday,0
TXN_000620,CUST_09789,14601.27,WALLET,FAILED,BANK_SERVER_DOWN,30,30,23,5,UPI,20,Monday,0
TXN_000624,CUST_01770,8970.4,CARD,FAILED,LIMIT_EXCEEDED,46,30,18,0,CARD,5,Saturday,0
TXN_000633,CUST_02304,7988.44,WALLET,FAILED,BANK_SERVER_DOWN,43,11,19,5,NETBANKING,5,Thursday,0
TXN_000635,CUST_03214,17220.57,CARD,FAILED,INSUFFICIENT_FUNDS,18,25,22,7,UPI,22,Sunday,1
TXN_000636,CUST_04969,24492.31,CARD,FAILED,BANK_TIMEOUT,37,10,23,9,UPI,23,Monday,1
TXN_000643,CUST_09138,6871.47,WALLET,FAILED,LIMIT_EXCEEDED,18,13,4,7,NETBANKING,8,Tuesday,0
TXN_000646,CUST_02602,2958.63,WALLET,FAILED,BANK_TIMEOUT,20,5,15,0,CARD,3,Monday,0
TXN_000648,CUST_05435,5904.88,NETBANKING,FAILED,LIMIT_EXCEEDED,57,15,19,2,WALLET,13,Thursday,0
TXN_000651,CUST_04277,18881.91,NETBANKING,FAILED,INSUFFICIENT_FUNDS,44,20,5,3,WALLET,0,Wednesday,0
TXN_000655,CUST_04830,12126.23,CARD,FAILED,OTP_FAILURE,30,19,13,3,CARD,8,Tuesday,0
TXN_000656,CUST_07607,7630.84,UPI,FAILED,BANK_SERVER_DOWN,43,25,7,10,CARD,0,Saturday,0
TXN_000657,CUST_07760,18419.59,WALLET,FAILED,CARD_DECLINED,57,7,23,2,NETBANKING,22,Sunday,0
TXN_000679,CUST_03335,16468.33,NETBANKING,FAILED,CARD_DECLINED,47,7,9,6,UPI,10,Sunday,0
TXN_000686,CUST_02427,21276.03,NETBANKING,FAILED,CARD_DECLINED,35,11,24,5,WALLET,9,Sunday,1
TXN_000687,CUST_01510,16126.18,NETBANKING,FAILED,LIMIT_EXCEEDED,32,11,23,10,UPI,9,Saturday,0
TXN_000691,CUST_07989,21065.81,CARD,FAILED,LIMIT_EXCEEDED,59,16,24,2,CARD,20,Thursday,0
TXN_000727,CUST_03032,14466.31,WALLET,FAILED,LIMIT_EXCEEDED,35,19,6,7,CARD,9,Thursday,0
TXN_000733,CUST_03501,7826.25,CARD,FAILED,LIMIT_EXCEEDED,60,6,1,2,UPI,3,Thursday,0
TXN_000739,CUST_04304,11941.57,CARD,FAILED,LIMIT_EXCEEDED,56,20,21,5,NETBANKING,0,Friday,0
TXN_000741,CUST_06432,2406.13,UPI,FAILED,CARD_DECLINED,23,19,3,6,WALLET,16,Wednesday,1
TXN_000745,CUST_00184,24233.57,UPI,FAILED,NETWORK_ERROR,29,29,10,0,CARD,10,Tuesday,1
TXN_000762,CUST_06897,3930.85,WALLET,FAILED,BANK_SERVER_DOWN,25,15,23,8,NETBANKING,2,Thursday,0
TXN_000770,CUST_07660,11738.92,NETBANKING,FAILED,BANK_SERVER_DOWN,34,25,1,4,UPI,9,Thursday,0
TXN_000771,CUST_01644,11576.38,NETBANKING,FAILED,INSUFFICIENT_FUNDS,46,15,3,5,NETBANKING,6,Sunday,0
TXN_000773,CUST_01488,24867.82,CARD,FAILED,OTP_FAILURE,24,16,19,1,NETBANKING,20,Thursday,0
TXN_000805,CUST_06447,18928.52,CARD,FAILED,CARD_DECLINED,44,28,8,3,WALLET,2,Monday,0
TXN_000810,CUST_07183,2193.69,CARD,FAILED,OTP_FAILURE,36,30,24,9,UPI,0,Thursday,0
TXN_000811,CUST_03561,13071.0,WALLET,FAILED,OTP_FAILURE,52,25,13,7,CARD,3,Sunday,1
TXN_000812,CUST_07632,11873.44,CARD,FAILED,NETWORK_ERROR,53,2,6,1,WALLET,14,Saturday,1
TXN_000829,CUST_02986,3737.69,WALLET,FAILED,NETWORK_ERROR,44,1,1,1,CARD,22,Friday,1
TXN_000830,CUST_09735,21692.93,UPI,FAILED,LIMIT_EXCEEDED,28,10,10,5,WALLET,8,Sunday,0
TXN_000838,CUST_01309,21410.5,UPI,FAILED,BANK_SERVER_DOWN,46,14,14,9,CARD,17,Thursday,0
TXN_000839,CUST_09817,9575.84,UPI,FAILED,INSUFFICIENT_FUNDS,36,30,6,6,UPI,16,Thursday,1
TXN_000849,CUST_05817,18068.6,UPI,FAILED,NETWORK_ERROR,47,19,23,4,WALLET,5,Monday,1
TXN_000854,CUST_05248,16068.55,NETBANKING,FAILED,BANK_SERVER_DOWN,50,8,10,3,NETBANKING,19,Monday,1
TXN_000856,CUST_00707,18924.37,UPI,FAILED,CARD_DECLINED,33,14,14,8,WALLET,8,Friday,0
TXN_000870,CUST_08887,15556.95,CARD,FAILED,OTP_FAILURE,38,18,10,10,NETBANKING,4,Tuesday,0
TXN_000883,CUST_06402,9075.22,UPI,FAILED,CARD_DECLINED,36,20,5,3,UPI,9,Friday,0
TXN_000891,CUST_05947,18526.62,CARD,FAILED,INSUFFICIENT_FUNDS,36,21,6,8,CARD,19,Monday,1
TXN_000893,CUST_02863,3809.04,CARD,FAILED,INSUFFICIENT_FUNDS,44,23,4,9,WALLET,1,Wednesday,0
TXN_000911,CUST_09721,10668.8,UPI,FAILED,NETWORK_ERROR,20,4,20,3,WALLET,7,Saturday,1
TXN_000925,CUST_03908,2685.92,WALLET,FAILED,OTP_FAILURE,34,3,6,9,NETBANKING,6,Wednesday,0
TXN_000933,CUST_05239,15397.28,UPI,FAILED,LIMIT_EXCEEDED,30,17,24,10,NETBANKING,5,Tuesday,0
TXN_000948,CUST_05992,20992.77,CARD,FAILED,OTP_FAILURE,46,22,8,8,WALLET,21,Sunday,0
TXN_000974,CUST_03157,12072.72,NETBANKING,FAILED,CARD_DECLINED,43,20,13,2,WALLET,1,Wednesday,0
TXN_000976,CUST_08625,12935.95,WALLET,FAILED,OTP_FAILURE,58,11,18,2,CARD,5,Wednesday,0
TXN_000981,CUST_07805,19374.48,CARD,FAILED,INSUFFICIENT_FUNDS,47,16,14,3,NETBANKING,22,Thursday,0
TXN_000991,CUST_06026,1610.94,WALLET,FAILED,NETWORK_ERROR,28,17,23,9,UPI,8,Wednesday,1
TXN_000992,CUST_02006,9390.7,CARD,FAILED,BANK_SERVER_DOWN,50,2,18,6,WALLET,18,Tuesday,0
TXN_000993,CUST_01529,11478.13,WALLET,FAILED,BANK_TIMEOUT,46,23,19,0,UPI,0,Sunday,1
TXN_000994,CUST_08268,6222.06,UPI,FAILED,BANK_TIMEOUT,59,8,1,5,CARD,15,Monday,1
TXN_001003,CUST_06246,4202.61,UPI,FAILED,LIMIT_EXCEEDED,47,27,1,9,WALLET,11,Tuesday,0
TXN_001007,CUST_00729,23095.32,NETBANKING,FAILED,CARD_DECLINED,57,6,9,10,UPI,2,Sunday,0
TXN_001010,CUST_05083,12566.81,CARD,FAILED,CARD_DECLINED,19,30,10,2,NETBANKING,11,Wednesday,1
TXN_001023,CUST_00959,14327.7,NETBANKING,FAILED,BANK_SERVER_DOWN,46,2,18,8,CARD,2,Friday,0
TXN_001028,CUST_00121,18640.1,CARD,FAILED,NETWORK_ERROR,28,23,6,10,UPI,14,Thursday,1
TXN_001033,CUST_08591,14973.13,NETBANKING,FAILED,LIMIT_EXCEEDED,48,3,17,1,NETBANKING,19,Friday,0
TXN_001037,CUST_03498,19808.07,UPI,FAILED,BANK_TIMEOUT,27,11,11,7,UPI,21,Friday,1
TXN_001042,CUST_02409,17042.56,NETBANKING,FAILED,BANK_TIMEOUT,32,27,7,4,WALLET,15,Tuesday,1
TXN_001055,CUST_00427,339.1,UPI,FAILED,LIMIT_EXCEEDED,55,16,13,10,UPI,2,Monday,0
TXN_001062,CUST_03462,20297.35,NETBANKING,FAILED,CARD_DECLINED,40,25,11,9,NETBANKING,17,Monday,1
TXN_001063,CUST_01889,15723.78,CARD,FAILED,LIMIT_EXCEEDED,46,10,22,1,UPI,4,Monday,0
TXN_001065,CUST_08092,11007.26,WALLET,FAILED,CARD_DECLINED,21,4,2,2,NETBANKING,8,Sunday,0
TXN_001067,CUST_05980,17587.48,CARD,FAILED,LIMIT_EXCEEDED,44,22,21,4,NETBANKING,4,Tuesday,1
TXN_001085,CUST_05168,3910.26,WALLET,FAILED,INSUFFICIENT_FUNDS,21,17,11,10,NETBANKING,18,Monday,0
TXN_001094,CUST_09043,12325.27,UPI,FAILED,BANK_SERVER_DOWN,50,23,18,1,NETBANKING,10,Monday,1
TXN_001096,CUST_01374,22771.96,UPI,FAILED,CARD_DECLINED,36,16,2,9,NETBANKING,20,Monday,0
TXN_001097,CUST_06605,5737.24,UPI,FAILED,INSUFFICIENT_FUNDS,60,16,7,3,NETBANKING,8,Thursday,0
TXN_001117,CUST_03581,17971.77,NETBANKING,FAILED,BANK_SERVER_DOWN,51,12,22,7,UPI,5,Tuesday,0
TXN_001123,CUST_06938,3351.53,CARD,FAILED,INSUFFICIENT_FUNDS,38,3,12,3,NETBANKING,7,Tuesday,1
TXN_001127,CUST_02345,23281.49,UPI,FAILED,LIMIT_EXCEEDED,40,21,5,6,WALLET,20,Monday,0
TXN_001135,CUST_00922,19215.46,NETBANKING,FAILED,NETWORK_ERROR,44,7,8,5,WALLET,8,Friday,0
TXN_001137,CUST_03024,8710.64,UPI,FAILED,BANK_SERVER_DOWN,29,10,15,3,NETBANKING,14,Monday,1
TXN_001139,CUST_00027,20488.44,UPI,FAILED,OTP_FAILURE,58,7,11,5,NETBANKING,9,Monday,0
TXN_001149,CUST_09245,12337.55,WALLET,FAILED,BANK_SERVER_DOWN,57,13,1,2,NETBANKING,12,Thursday,0
TXN_001151,CUST_06117,18644.72,CARD,FAILED,OTP_FAILURE,18,3,10,6,WALLET,15,Monday,0
TXN_001153,CUST_00552,6898.95,NETBANKING,FAILED,LIMIT_EXCEEDED,22,3,10,4,NETBANKING,1,Wednesday,0
TXN_001163,CUST_06118,19086.2,UPI,FAILED,NETWORK_ERROR,21,23,21,8,NETBANKING,12,Saturday,1
TXN_001166,CUST_07454,6569.18,UPI,FAILED,INSUFFICIENT_FUNDS,53,7,1,8,CARD,4,Thursday,0
TXN_001171,CUST_07094,4160.66,NETBANKING,FAILED,BANK_TIMEOUT,37,24,6,2,WALLET,2,Thursday,1
TXN_001183,CUST_07909,7480.87,NETBANKING,FAILED,LIMIT_EXCEEDED,30,15,11,6,UPI,10,Wednesday,0
TXN_001187,CUST_00846,5471.97,CARD,FAILED,BANK_TIMEOUT,23,24,1,3,WALLET,5,Wednesday,1
TXN_001192,CUST_01360,22287.73,CARD,FAILED,NETWORK_ERROR,47,7,8,8,CARD,19,Sunday,1
TXN_001199,CUST_07964,6631.07,WALLET,FAILED,NETWORK_ERROR,35,19,9,6,WALLET,2,Sunday,0
TXN_001202,CUST_00007,6672.07,UPI,FAILED,LIMIT_EXCEEDED,57,26,24,5,WALLET,16,Monday,0
TXN_001203,CUST_00667,7636.28,NETBANKING,FAILED,CARD_DECLINED,56,1,3,10,CARD,18,Tuesday,0
TXN_001208,CUST_05953,24323.39,UPI,FAILED,NETWORK_ERROR,37,3,21,0,CARD,19,Sunday,1
TXN_001210,CUST_00492,3018.69,CARD,FAILED,NETWORK_ERROR,53,11,12,10,WALLET,6,Tuesday,1
TXN_001217,CUST_00275,7359.84,CARD,FAILED,BANK_TIMEOUT,53,6,8,3,UPI,23,Friday,0
TXN_001221,CUST_05500,3552.75,UPI,FAILED,INSUFFICIENT_FUNDS,51,27,24,6,WALLET,0,Monday,0
TXN_001224,CUST_05541,18372.04,NETBANKING,FAILED,BANK_SERVER_DOWN,39,8,1,5,CARD,23,Tuesday,0
TXN_001225,CUST_04196,14134.77,CARD,FAILED,LIMIT_EXCEEDED,26,5,7,1,UPI,2,Tuesday,0
TXN_001231,CUST_09309,4945.65,WALLET,FAILED,NETWORK_ERROR,24,17,13,5,CARD,17,Friday,0
TXN_001234,CUST_01048,13128.4,UPI,FAILED,BANK_SERVER_DOWN,47,20,4,1,WALLET,22,Saturday,0
TXN_001241,CUST_05167,16777.98,UPI,FAILED,OTP_FAILURE,57,30,19,1,NETBANKING,2,Sunday,1
TXN_001244,CUST_04477,10915.25,UPI,FAILED,OTP_FAILURE,46,12,24,0,WALLET,17,Monday,1
TXN_001247,CUST_04148,2228.13,WALLET,FAILED,BANK_TIMEOUT,59,30,21,0,NETBANKING,22,Sunday,1
TXN_001256,CUST_02622,17890.84,WALLET,FAILED,OTP_FAILURE,43,5,24,10,NETBANKING,20,Monday,0
TXN_001262,CUST_01071,4241.49,UPI,FAILED,OTP_FAILURE,30,8,6,5,WALLET,21,Saturday,0
TXN_001263,CUST_09407,9237.74,WALLET,FAILED,OTP_FAILURE,30,17,5,8,UPI,10,Friday,0
TXN_001268,CUST_06382,2939.74,NETBANKING,FAILED,INSUFFICIENT_FUNDS,41,7,7,5,WALLET,5,Monday,0
TXN_001272,CUST_00540,16648.71,NETBANKING,FAILED,INSUFFICIENT_FUNDS,40,8,24,2,UPI,4,Monday,0
